ZABER TECHNOLOG  PAY,02/03/2017,1730.46,wage
NON-TD ATM W/D,02/06/2017,-42.00,entertainment
CYPRESS MOUNTAI   _F,02/06/2017,-72.45,entertainment
SSV TO:  89676470641,02/07/2017,-2.00,other
SAFEWAY #4901,02/13/2017,-179.19,food
805 - LD POINTE   _F,02/13/2017,-13.44,entertainment
SSV TO:  89676470641,02/14/2017,-2.00,other
CHEVRON 0303,02/17/2017,-37.97,gas
SARGENT LIQUOR    _F,02/17/2017,-21.00,entertainment
ROCK JUNGLE FIT,02/21/2017,-21.00,entertainment
SUBWAY #28742     _F,02/21/2017,-9.65,entertainment
ZABER TECHNOLOG  PAY,02/21/2017,1638.04,wage
SSV TO:  89676470641,02/21/2017,-2.00,other
SSV TO:  89676470641,02/22/2017,-2.00,other
EMAIL TFR   C0VqZZgB,02/24/2017,-420.00,entertainment
E-TRANSFER FEE,02/24/2017,-1.00,rent
TD Insurance     INS,02/24/2017,-74.25,car
SUBWAY # 17590    _F,02/27/2017,-7.34,entertainment
BC LIQUOR #242    _F,02/27/2017,-25.11,entertainment
THE PARSONAGE C,02/27/2017,-7.25,food
LOGAN'S LIQUOR    _F,02/27/2017,-17.89,entertainment
SAVE ON FOODS #   _F,02/27/2017,-8.05,food
MAUDE HUNTERS P,02/27/2017,-23.81,entertainment
MAUDE HUNTER'S    _F,02/27/2017,-3.10,entertainment
TIM HORTONS #29   _F,02/27/2017,-4.61,entertainment
SAFEWAY #4901,02/27/2017,-62.52,food
SSV TO:  89676470641,02/28/2017,-9.00,other
E TFR   C0efzDb9,02/28/2017,-900.00,entertainment
E-TRANSFER FEE,02/28/2017,-1.00,rent
PASSBOOK FEE,02/28/2017,-2.25,d
MONTHLY ACCOUNT FEE,02/28/2017,-10.95,d
ACCT BAL REBATE,02/28/2017,10.95,bank
OTHER BANK FEES,02/28/2017,-2.00,bank
A & W CITY SQUA   _F,03/03/2017,-11.81,food
IMPARK00010911A,03/03/2017,-3.50,other
ZABER TECHNOLOG  PAY,03/03/2017,1240.90,wage
